case,activity,time
1529124572,K,2016/1/1 22:42
1529124572,B,2016/1/1 22:42
1529124572,C,2016/1/1 22:43
1529124572,D,2016/1/4 23:44
1529124572,E,2016/1/4 23:53
1529124572,F,2016/1/26 18:44
1529124572,G,2016/1/26 19:17
1529124572,H,2016/1/26 23:02
1529124572,G,2016/1/27 17:25
1120819670,K,2016/1/2 0:22
1120819670,B,2016/1/2 0:22
1120819670,C,2016/1/2 0:23
1120819670,D,2016/1/2 17:52
1120819670,E,2016/1/2 17:59
1120819670,F,2016/1/8 17:55
1120819670,G,2016/1/8 23:20
1120819670,H,2016/1/11 16:54
1120819670,G,2016/1/11 17:42
1193723578,K,2016/1/2 19:32
1193723578,B,2016/1/2 19:32
1193723578,C,2016/1/2 19:33
1193723578,D,2016/1/4 20:35
1193723578,E,2016/1/4 20:41
1193723578,F,2016/1/13 21:23
1193723578,G,2016/1/13 22:48
1193723578,H,2016/1/14 20:25
1193723578,G,2016/1/14 23:16
1699757505,I,2016/1/2 20:04
1699757505,B,2016/1/2 20:04
1699757505,C,2016/1/2 20:05
1699757505,D,2016/1/4 17:25
1699757505,E,2016/1/4 17:27
1699757505,F,2016/1/8 20:38
1699757505,G,2016/1/11 17:15
1699757505,H,2016/1/12 16:34
1699757505,G,2016/1/12 18:55
486645986,K,2016/1/3 2:36
486645986,B,2016/1/3 2:36
486645986,C,2016/1/3 2:37
486645986,D,2016/1/4 22:58
486645986,E,2016/1/4 23:01
486645986,F,2016/1/13 22:59
486645986,G,2016/1/14 16:09
486645986,H,2016/1/15 0:03
486645986,G,2016/1/15 23:48
1300843234,I,2016/1/3 17:06
1300843234,B,2016/1/3 17:06
1300843234,C,2016/1/3 17:08
1300843234,D,2016/1/4 16:55
1300843234,E,2016/1/4 16:59
1300843234,F,2016/1/8 15:26
1300843234,G,2016/1/11 18:55
1300843234,H,2016/1/11 23:45
1300843234,G,2016/1/12 19:00
2062932311,K,2016/1/3 22:35
2062932311,B,2016/1/3 22:35
2062932311,C,2016/1/3 22:37
2062932311,D,2016/1/5 2:51
2062932311,E,2016/1/5 2:55
2062932311,F,2016/1/13 18:41
2062932311,G,2016/1/13 19:37
2062932311,H,2016/1/13 21:39
2062932311,G,2016/1/13 21:57
430902047,I,2016/1/3 23:35
430902047,B,2016/1/3 23:35
430902047,C,2016/1/3 23:36
430902047,D,2016/1/6 1:14
430902047,E,2016/1/6 1:20
430902047,F,2016/1/15 19:33
430902047,G,2016/1/15 21:55
430902047,H,2016/1/25 18:21
430902047,G,2016/1/25 22:56
283012951,I,2016/1/4 3:28
283012951,B,2016/1/4 3:28
283012951,C,2016/1/4 3:29
283012951,D,2016/1/4 21:53
283012951,E,2016/1/4 22:04
283012951,F,2016/1/14 17:36
283012951,G,2016/1/15 20:50
283012951,H,2016/1/16 1:45
