CaseID,Activity,CompleteTimestamp
2,A,2012-04-03 16:55:38
2,B,2012-04-03 16:55:53
2,C,2012-04-05 17:15:52
3,A,2010-10-29 18:14:06
3,B,2010-11-04 01:16:11
3,C,2010-11-04 01:21:17
4,A,2010-12-15 23:31:53
4,B,2010-12-16 17:01:07
4,C,2010-12-16 17:08:19
5,A,2012-04-03 21:08:32
5,B,2012-04-03 21:45:33
5,C,2012-04-03 21:47:22
5,B,2012-04-03 22:15:02
5,C,2012-04-04 00:07:28
6,A,2011-10-25 23:13:58
6,B,2011-10-25 23:58:55
6,C,2011-10-26 17:54:46
8,A,2012-07-05 16:30:32
8,B,2012-07-05 17:25:45
8,C,2012-07-05 17:44:46
9,D,2010-05-07 21:02:21
9,A,2010-05-07 21:02:34
9,B,2010-05-24 18:26:28
9,C,2010-05-25 23:35:44
10,A,2010-02-10 17:50:20
10,B,2010-03-19 17:47:06
10,C,2010-03-19 17:47:13
11,A,2011-12-22 00:24:41
11,B,2011-12-22 00:25:34
11,C,2011-12-22 18:55:43
14,A,2011-07-05 21:47:08
14,B,2011-07-05 21:47:22
14,C,2011-07-05 21:52:37
16,A,2012-02-22 23:16:52
16,B,2012-02-23 01:14:07
16,B,2012-02-23 01:23:57
16,C,2012-02-23 18:47:38
17,A,2011-10-14 15:10:47
17,B,2011-11-03 01:17:52
17,C,2011-11-09 22:31:37
19,A,2010-07-07 15:54:04
19,B,2010-07-09 18:10:52
19,C,2010-07-09 18:11:18
21,A,2011-01-15 00:15:21
21,B,2011-01-27 17:06:37
21,C,2011-01-27 19:19:15
22,A,2012-07-23 15:49:04
22,B,2012-07-23 15:49:14
22,E,2012-07-23 16:51:59
22,C,2012-08-27 18:05:23
24,A,2010-04-27 17:49:56
24,B,2010-06-08 19:06:56
24,C,2010-06-08 22:46:16
25,A,2010-12-30 18:27:17
25,B,2010-12-30 22:14:04
25,C,2010-12-31 00:16:35
26,A,2011-03-31 15:28:47
26,B,2011-03-31 15:31:59
26,E,2011-03-31 16:39:41
26,B,2011-03-31 19:00:28
26,C,2011-03-31 19:00:41
27,A,2011-11-24 23:02:16
27,B,2011-11-24 23:02:35
27,C,2011-12-12 18:04:47
29,A,2012-07-30 18:07:32
29,B,2012-07-30 18:07:40
29,C,2012-07-30 20:29:40
30,A,2011-01-21 18:47:20
30,B,2011-02-07 18:19:45
30,C,2011-02-10 18:01:20
32,A,2011-04-27 15:38:44
32,B,2011-04-27 20:46:13
32,C,2011-04-28 16:18:08
35,A,2012-01-18 17:15:30
35,C,2012-01-18 18:46:37
36,A,2011-06-29 18:06:48
36,B,2011-06-30 20:58:23
36,C,2011-07-05 15:32:43
37,A,2011-02-10 20:13:07
37,B,2011-02-10 20:13:33
37,C,2011-02-11 00:20:02
37,C,2011-03-02 22:23:58
37,B,2011-03-02 22:24:07
37,E,2011-03-03 00:27:52
37,B,2011-03-04 18:37:50
37,C,2011-03-04 18:37:55
38,A,2012-03-20 16:57:45
38,B,2012-03-20 16:58:15
38,C,2012-03-20 17:18:56
40,A,2012-08-09 20:13:03
40,B,2012-08-09 20:13:29
40,C,2012-08-09 20:46:00
41,A,2010-12-14 19:44:26
41,B,2010-12-14 19:44:57
41,C,2010-12-14 19:45:12
42,A,2011-06-16 20:23:39
42,B,2011-06-16 20:51:05
42,C,2011-06-16 21:39:51
43,A,2012-04-10 16:56:32
43,B,2012-04-10 17:27:27
43,C,2012-04-10 18:53:28
44,A,2010-11-30 01:09:19
44,B,2010-11-30 01:19:59
44,C,2010-11-30 01:20:51
45,A,2012-01-20 23:08:14
45,B,2012-01-25 20:46:19
45,C,2012-03-02 19:40:59
47,A,2011-05-25 17:48:18
47,B,2011-05-25 17:48:43
47,C,2011-05-30 23:04:34
48,D,2010-12-01 22:42:59
48,A,2010-12-02 23:07:33
48,B,2010-12-02 23:07:41
48,C,2010-12-02 23:08:33
49,A,2011-11-25 23:33:54
49,B,2011-11-25 23:47:48
49,E,2011-11-29 23:47:35
49,C,2011-12-03 01:25:57
50,A,2012-01-16 19:53:01
50,B,2012-01-16 19:59:51
50,C,2012-01-17 01:37:54
50,C,2012-01-17 01:37:55
51,A,2012-06-13 21:55:36
51,B,2012-06-14 15:07:06
51,E,2012-06-15 15:16:27
51,C,2012-07-02 17:41:04
52,A,2012-07-26 23:18:26
52,B,2012-07-26 23:18:35
52,C,2012-07-27 18:46:28
55,A,2011-10-26 23:51:42
55,B,2011-11-01 00:19:03
55,E,2011-11-07 17:44:52
55,C,2011-11-21 17:21:23
56,A,2012-01-30 20:32:58
56,C,2012-01-30 20:33:23
57,A,2010-10-29 17:39:23
57,B,2010-11-02 23:56:13
57,C,2010-11-03 00:39:05
60,A,2011-04-06 23:35:49
60,B,2011-04-06 23:36:04
60,E,2011-04-07 23:41:23
60,B,2011-04-13 16:49:14
60,C,2011-04-13 16:49:22
61,A,2011-09-16 15:04:39
61,B,2011-09-16 15:18:12
61,C,2011-09-16 23:04:46
62,A,2012-05-28 23:16:47
62,C,2012-05-28 23:18:27
64,A,2011-04-14 23:54:28
64,A,2011-04-14 23:54:46
64,E,2011-04-15 18:41:19
64,B,2011-04-27 18:30:04
64,E,2011-04-27 18:30:13
64,B,2011-05-06 17:42:13
