case,event,time
10,A,1970/1/1 18:09
10,B,1970/1/1 18:15
10,G,1970/1/1 18:42
10,D,1970/1/1 18:48
10,H,1970/1/1 18:54
10,G,1970/1/1 19:03
10,D,1970/1/1 19:09
10,F,1970/1/1 19:14
1000,A,1970/1/22 13:23
1000,B,1970/1/22 13:28
1000,G,1970/1/22 13:49
1000,D,1970/1/22 13:58
1000,F,1970/1/22 14:08
106,A,1970/1/4 4:58
106,B,1970/1/4 5:05
106,G,1970/1/4 5:23
106,D,1970/1/4 5:33
106,F,1970/1/4 5:38
107,A,1970/1/3 19:58
107,B,1970/1/3 20:05
107,G,1970/1/3 20:28
107,D,1970/1/3 20:34
107,F,1970/1/3 20:43
114,A,1970/1/3 17:59
114,B,1970/1/3 18:07
114,G,1970/1/3 18:33
114,D,1970/1/3 18:40
114,F,1970/1/3 18:50
115,A,1970/1/4 17:30
115,B,1970/1/4 17:35
115,G,1970/1/4 17:56
115,D,1970/1/4 18:04
115,F,1970/1/4 18:09
116,A,1970/1/4 18:34
116,B,1970/1/4 18:41
116,G,1970/1/4 19:07
116,D,1970/1/4 19:13
116,F,1970/1/4 19:19
118,A,1970/1/4 5:30
118,B,1970/1/4 5:35
118,G,1970/1/4 5:57
118,D,1970/1/4 6:02
118,H,1970/1/4 6:09
118,G,1970/1/4 6:27
118,D,1970/1/4 6:33
118,F,1970/1/4 6:40
12,A,1970/1/1 21:12
12,B,1970/1/1 21:22
12,G,1970/1/1 21:44
12,D,1970/1/1 21:54
12,H,1970/1/1 22:02
12,G,1970/1/1 22:19
12,D,1970/1/1 22:26
12,F,1970/1/1 22:36
122,A,1970/1/4 18:27
122,B,1970/1/4 18:34
122,G,1970/1/4 18:55
122,D,1970/1/4 19:04
122,H,1970/1/4 19:13
122,G,1970/1/4 19:19
122,D,1970/1/4 19:29
122,H,1970/1/4 19:37
122,G,1970/1/4 19:57
122,D,1970/1/4 20:05
122,F,1970/1/4 20:14
124,A,1970/1/5 5:26
124,B,1970/1/5 5:32
124,G,1970/1/5 6:11
124,D,1970/1/5 6:20
124,F,1970/1/5 6:26
126,A,1970/1/5 8:47
126,B,1970/1/5 8:55
126,G,1970/1/5 9:18
126,D,1970/1/5 9:27
126,H,1970/1/5 9:34
126,G,1970/1/5 9:39
126,D,1970/1/5 9:44
126,H,1970/1/5 9:51
126,G,1970/1/5 10:08
126,D,1970/1/5 10:16
126,F,1970/1/5 10:24
127,A,1970/1/5 3:34
127,B,1970/1/5 3:41
127,G,1970/1/5 4:12
127,D,1970/1/5 4:20
127,F,1970/1/5 4:25
128,A,1970/1/5 5:17
128,B,1970/1/5 5:25
128,G,1970/1/5 5:51
128,D,1970/1/5 5:59
128,F,1970/1/5 6:08
130,A,1970/1/4 19:30
130,B,1970/1/4 19:39
130,G,1970/1/4 20:15
130,D,1970/1/4 20:25
130,H,1970/1/4 20:31
130,G,1970/1/4 20:42
130,D,1970/1/4 20:52
130,F,1970/1/4 21:02
133,A,1970/1/4 6:42
133,B,1970/1/4 6:52
133,G,1970/1/4 7:23
133,D,1970/1/4 7:30
133,H,1970/1/4 7:37
133,G,1970/1/4 7:47
133,D,1970/1/4 7:57
133,F,1970/1/4 8:06
134,A,1970/1/4 20:49
134,B,1970/1/4 20:57
134,G,1970/1/4 21:32
134,D,1970/1/4 21:37
134,H,1970/1/4 21:45
134,G,1970/1/4 21:55
134,D,1970/1/4 22:01
134,F,1970/1/4 22:08
135,A,1970/1/5 12:09
135,B,1970/1/5 12:19
135,G,1970/1/5 12:51
135,D,1970/1/5 12:56
135,F,1970/1/5 13:04
137,A,1970/1/4 15:41
137,B,1970/1/4 15:51
137,G,1970/1/4 16:27
137,D,1970/1/4 16:37
137,H,1970/1/4 16:47
137,G,1970/1/4 16:54
137,D,1970/1/4 17:01
137,H,1970/1/4 17:11
137,G,1970/1/4 17:17
137,D,1970/1/4 17:24
137,F,1970/1/4 17:32
139,A,1970/1/4 5:53
139,B,1970/1/4 6:01
139,G,1970/1/4 6:20
139,D,1970/1/4 6:30
139,H,1970/1/4 6:36
139,G,1970/1/4 6:42
139,D,1970/1/4 6:52
139,H,1970/1/4 7:00
139,G,1970/1/4 7:18
139,D,1970/1/4 7:25
139,F,1970/1/4 7:32
146,A,1970/1/5 0:20
146,B,1970/1/5 0:29
146,G,1970/1/5 0:51
146,D,1970/1/5 0:59
146,F,1970/1/5 1:14
149,A,1970/1/4 19:46
149,B,1970/1/4 19:53
149,G,1970/1/4 20:25
149,D,1970/1/4 20:32
149,H,1970/1/4 20:39
149,G,1970/1/4 20:51
149,D,1970/1/4 21:01
149,F,1970/1/4 21:11
151,A,1970/1/5 1:24
151,B,1970/1/5 1:31
151,G,1970/1/5 2:03
151,D,1970/1/5 2:12
151,H,1970/1/5 2:21
151,G,1970/1/5 2:41
151,D,1970/1/5 2:49
151,F,1970/1/5 2:58
153,A,1970/1/5 4:45
153,B,1970/1/5 4:51
153,G,1970/1/5 5:12
153,D,1970/1/5 5:19
153,H,1970/1/5 5:28
153,G,1970/1/5 5:42
153,D,1970/1/5 5:48
153,F,1970/1/5 5:55
158,A,1970/1/4 19:26
158,B,1970/1/4 19:34
158,G,1970/1/4 19:48
158,D,1970/1/4 19:54
158,H,1970/1/4 19:59
158,G,1970/1/4 20:06
158,D,1970/1/4 20:13
158,H,1970/1/4 20:21
158,G,1970/1/4 20:29
158,D,1970/1/4 20:39
158,F,1970/1/4 20:47
163,A,1970/1/6 2:23
163,B,1970/1/6 2:33
163,G,1970/1/6 2:49
163,D,1970/1/6 2:58
163,H,1970/1/6 3:04
163,G,1970/1/6 3:18
163,D,1970/1/6 3:25
163,H,1970/1/6 3:35
163,G,1970/1/6 3:51
163,D,1970/1/6 3:56
163,F,1970/1/6 4:05
167,A,1970/1/5 13:44
167,B,1970/1/5 13:50
167,G,1970/1/5 14:30
167,D,1970/1/5 14:40
167,H,1970/1/5 14:50
167,G,1970/1/5 15:04
167,D,1970/1/5 15:09
167,F,1970/1/5 15:14
168,A,1970/1/5 0:11
168,B,1970/1/5 0:18
168,G,1970/1/5 0:37
168,D,1970/1/5 0:43
168,F,1970/1/5 0:53
169,A,1970/1/5 22:10
169,B,1970/1/5 22:20
169,G,1970/1/5 23:02
169,D,1970/1/5 23:08
169,F,1970/1/5 23:13
171,A,1970/1/5 12:21
171,B,1970/1/5 12:27
171,G,1970/1/5 12:54
171,D,1970/1/5 13:04
171,H,1970/1/5 13:11
171,G,1970/1/5 13:16
171,D,1970/1/5 13:21
171,H,1970/1/5 13:31
171,G,1970/1/5 13:43
171,D,1970/1/5 13:49
171,F,1970/1/5 13:58
174,A,1970/1/5 0:17
174,B,1970/1/5 0:22
