MSE, MAE, RMSE
GRU_NonPartition--totalMSE:,5.939819812774658   totalMAE:,1.914745807647705   totalRMSE:,2.4371745586395264   
ID, MSE, MAE, RMSE
MSE, MAE, RMSE
GRU_NonPartition--totalMSE:,13.240193367004395   totalMAE:,3.241119146347046   totalRMSE:,3.6387076377868652   
ID, MSE, MAE, RMSE
MSE, MAE, RMSE
GRU_NonPartition--totalMSE:,4.569879055023193   totalMAE:,1.645922064781189   totalRMSE:,2.1377274990081787   
ID, MSE, MAE, RMSE
MSE, MAE, RMSE
GRU_NonPartition--totalMSE:,4.569879055023193   totalMAE:,1.645922064781189   totalRMSE:,2.1377274990081787   
ID, MSE, MAE, RMSE
MSE, MAE, RMSE
GRU_NonPartition--totalMSE:,4.569879055023193   totalMAE:,1.645922064781189   totalRMSE:,2.1377274990081787   
ID, MSE, MAE, RMSE
