case ,event,time
290,a,2010/11/9 20:03
290,c,2010/11/9 20:04
290,d,2010/11/9 20:05
290,e,2010/11/9 20:06
290,h,2010/11/9 20:07
289,a,2010/11/9 20:03
289,c,2010/11/9 20:04
289,d,2010/11/9 20:05
289,e,2010/11/9 20:06
289,h,2010/11/9 20:07
288,a,2010/11/9 20:03
288,c,2010/11/9 20:04
288,d,2010/11/9 20:05
288,e,2010/11/9 20:06
288,h,2010/11/9 20:07
281,a,2010/11/9 20:03
281,c,2010/11/9 20:04
281,d,2010/11/9 20:05
281,e,2010/11/9 20:06
281,h,2010/11/9 20:07
280,a,2010/11/9 20:03
280,c,2010/11/9 20:04
280,d,2010/11/9 20:05
280,e,2010/11/9 20:06
280,h,2010/11/9 20:07
283,a,2010/11/9 20:03
283,c,2010/11/9 20:04
283,d,2010/11/9 20:05
283,e,2010/11/9 20:06
283,h,2010/11/9 20:07
282,a,2010/11/9 20:03
282,c,2010/11/9 20:04
282,d,2010/11/9 20:05
282,e,2010/11/9 20:06
282,h,2010/11/9 20:07
285,a,2010/11/9 20:03
285,c,2010/11/9 20:04
285,d,2010/11/9 20:05
285,e,2010/11/9 20:06
285,h,2010/11/9 20:07
284,a,2010/11/9 20:03
284,c,2010/11/9 20:04
284,d,2010/11/9 20:05
284,e,2010/11/9 20:06
284,h,2010/11/9 20:07
287,a,2010/11/9 20:03
287,c,2010/11/9 20:04
287,d,2010/11/9 20:05
287,e,2010/11/9 20:06
287,h,2010/11/9 20:07
286,a,2010/11/9 20:03
286,c,2010/11/9 20:04
286,d,2010/11/9 20:05
286,e,2010/11/9 20:06
286,h,2010/11/9 20:07
299,a,2010/11/9 20:03
299,c,2010/11/9 20:04
299,d,2010/11/9 20:05
299,e,2010/11/9 20:06
299,h,2010/11/9 20:07
294,a,2010/11/9 20:03
294,c,2010/11/9 20:04
294,d,2010/11/9 20:05
294,e,2010/11/9 20:06
294,h,2010/11/9 20:07
293,a,2010/11/9 20:03
293,c,2010/11/9 20:04
293,d,2010/11/9 20:05
293,e,2010/11/9 20:06
293,h,2010/11/9 20:07
292,a,2010/11/9 20:03
292,c,2010/11/9 20:04
292,d,2010/11/9 20:05
292,e,2010/11/9 20:06
292,h,2010/11/9 20:07
291,a,2010/11/9 20:03
291,c,2010/11/9 20:04
291,d,2010/11/9 20:05
291,e,2010/11/9 20:06
291,h,2010/11/9 20:07
298,a,2010/11/9 20:03
298,c,2010/11/9 20:04
298,d,2010/11/9 20:05
298,e,2010/11/9 20:06
298,h,2010/11/9 20:07
297,a,2010/11/9 20:03
297,c,2010/11/9 20:04
297,d,2010/11/9 20:05
