模型,数据集,ACC,F1_EVERY_CLASS,F1_MACRO,F1_MICRO,PREC_EVERY_CLASS,PREC_MACRO,PREC_MICRO,RECALL_EVERY_CLASS,RECALL_MACRO,RECALL_MICRO
GRU,result1,0.889750215,[0.45761402 0.9352537 ],0.696433857,0.889750215,[0.99746216 0.88899655],0.943229359,0.889750215,[0.45367294 0.99852344],0.726098191,0.889750215
,result2,0.896373603,[0.45916012 0.93975116],0.699455637,0.896373603,[0.96963947 0.89808477],0.93386212,0.896373603,[0.45659393 0.99432321],0.725458571,0.896373603
,result3,0.947408495,[0.70337739 0.96984857],0.836612978,0.947408495,[1.        0.9474085],0.973704248,0.947408495,[0.70337739 1.        ],0.851688693,0.947408495
,result4,0.892665692,[0.44976504 0.93761267],0.693688856,0.892665692,[0.9904057  0.89235284],0.941379273,0.892665692,[0.44541301 0.99767909],0.721546053,0.892665692
,result5,0.951111111,[0.7108046  0.97226829],0.841536444,0.951111111,[1.         0.95111111],0.975555556,0.951111111,[0.7108046 1.       ],0.855402299,0.951111111
,result6,0.906038201,[0.51008894 0.94541115],0.727750044,0.906038201,[0.99722736 0.90548514],0.951356248,0.906038201,[0.50893407 0.999122  ],0.754028035,0.906038201
,result7,0.950821345,[0.71303949 0.97207275],0.842556118,0.950821345,[1.         0.95082134],0.975410672,0.950821345,[0.71303949 1.        ],0.856519743,0.950821345
,result8,0.950179211,[0.7202765  0.97142605],0.845851275,0.950179211,[1.         0.95017921],0.975089606,0.950179211,[0.7202765 1.       ],0.860138249,0.950179211
,result9,0.903345725,[0.49737886 0.94389196],0.720635412,0.903345725,[0.96731722 0.90495552],0.936136374,0.903345725,[0.49394804 0.99476899],0.744358515,0.903345725
,result10,0.921292869,[0.57438934 0.95465373],0.764521534,0.921292869,[1.         0.92129287],0.960646435,0.921292869,[0.57438934 1.        ],0.787194671,0.921292869
RNN,result1,0.881013904,[0.41000369 0.93065262],0.670328153,0.881013904,[0.99003322 0.88170604],0.935869632,0.881013904,[0.40928387 0.99849312],0.703888493,0.881013904
,result2,0.896689859,[0.44212524 0.94087429],0.691499761,0.896689859,[1.         0.89668986],0.948344929,0.896689859,[0.44212524 1.        ],0.721062619,0.896689859
,result3,0.947354109,[0.70871268 0.96968576],0.839199221,0.947354109,[0.99265786 0.94788437],0.970271115,0.947354109,[0.7080682  0.99892024],0.85349422,0.947354109
,result4,0.885112086,[0.38925439 0.93414181],0.661698098,0.885112086,[1.         0.88511209],0.942556043,0.885112086,[0.38925439 1.        ],0.694627193,0.885112086
,result5,0.912694764,[0.53197811 0.95027999],0.741129047,0.912694764,[0.74551724 0.95399288],0.849755063,0.912694764,[0.74049042 0.95590221],0.848196315,0.912694764
,result6,0.904497843,[0.50554529 0.94476157],0.725153426,0.904497843,[1.         0.90449784],0.952248922,0.904497843,[0.50554529 1.        ],0.752772643,0.904497843
,result7,0.950821345,[0.71303949 0.97207275],0.842556118,0.950821345,[1.         0.95082134],0.975410672,0.950821345,[0.71303949 1.        ],0.856519743,0.950821345
,result8,0.950179211,[0.7202765  0.97142605],0.845851275,0.950179211,[1.         0.95017921],0.975089606,0.950179211,[0.7202765 1.       ],0.860138249,0.950179211
,result9,0.902726146,[0.47583643 0.94432985],0.710083139,0.902726146,[1.         0.90272615],0.951363073,0.902726146,[0.47583643 1.        ],0.737918216,0.902726146
,result10,0.921375113,[0.5748828 0.9546969],0.764789854,0.921375113,[1.         0.92136483],0.960682416,0.921375113,[0.57475944 1.        ],0.787379719,0.921375113
LSTM,result1,0.881383044,[0.4175526  0.93054006],0.674046333,0.881383044,[0.98172757 0.88236961],0.932048595,0.881383044,[0.41553288 0.99693746],0.706235168,0.881383044
,result2,0.896795277,[0.44275775 0.94092963],0.691843689,0.896795277,[1.        0.8967821],0.94839105,0.896795277,[0.44259962 1.        ],0.72129981,0.896795277
,result3,0.94675586,[0.70606951 0.96934449],0.837706998,0.94675586,[0.99021047 0.94757748],0.968893978,0.94675586,[0.70545766 0.99855022],0.852003939,0.94675586
,result4,0.884137427,[0.41980994 0.93255085],0.676180394,0.884137427,[0.95504386 0.88746389],0.921253873,0.884137427,[0.41716009 0.99252689],0.704843489,0.884137427
,result5,0.951111111,[0.7108046  0.97226829],0.841536444,0.951111111,[1.         0.95111111],0.975555556,0.951111111,[0.7108046 1.       ],0.855402299,0.951111111
,result6,0.904497843,[0.50554529 0.94476157],0.725153426,0.904497843,[1.         0.90449784],0.952248922,0.904497843,[0.50554529 1.        ],0.752772643,0.904497843
,result7,0.950566269,[0.71345271 0.97188722],0.842669964,0.950566269,[0.99678604 0.95080859],0.973797317,0.950566269,[0.71330732 0.99954906],0.856428189,0.950566269
,result8,0.950179211,[0.7202765  0.97142605],0.845851275,0.950179211,[1.         0.95017921],0.975089606,0.950179211,[0.7202765 1.       ],0.860138249,0.950179211
,result9,0.798327138,[0.21677731 0.87652027],0.546648788,0.798327138,[0.3491171  0.91322874],0.631172921,0.798327138,[0.60356258 0.85911223],0.731337405,0.798327138
,result10,0.921457357,[0.57752282 0.95461703],0.766069926,0.921457357,[0.99740933 0.92157485],0.959492087,0.921457357,[0.57710338 0.99937612],0.788239752,0.921457357
